Dorm_Name,Campus,Address,Latitude,Longitude
Allen Hall,Busch,"32 Bevier Road, Piscataway, NJ 08854",,
B.E.S.T Neighborhood,Busch,"50 Bevier Road, Piscataway, NJ 08854",,
Barr Hall,Busch,"42 Bevier Road, Piscataway, NJ 08854",,
Buell Apartments,Busch,"55 Bevier Road, Piscataway, NJ 08854",,
Crosby Suites,Busch,"109 Davidson Road, Piscataway, NJ 08854",,
Johnson Apartments,Busch,"171 Davidson Road, Piscataway, NJ 08854",,
Judson Suites,Busch,"103 Davidson Road, Piscataway, NJ 08854",,
Mattia Hall,Busch,"36 Bevier Road, Piscataway, NJ 08854",,
McCormick Suites,Busch,"99 Davidson Road, Piscataway, NJ 08854",,
Metzger Hall,Busch,"43 Bevier Road, Piscataway, NJ 08854",,
Morrow Suites,Busch,"111 Davidson Road, Piscataway, NJ 08854",,
Nichols Apartments,Busch,"194 Davidson Road, Piscataway, NJ 08854",,
Richardson Apartments,Busch,"187 Bevier Road, Piscataway, NJ 08854",,
Silvers Apartments,Busch,"220 Marvin Lane, Piscataway, NJ 08854",,
Thomas Suites,Busch,"105 Davidson Road, Piscataway, NJ 08854",,
Winkler Suites,Busch,"97 Davidson Road, Piscataway, NJ 08854",,
Marvin Apartments,Busch,"606 Marvin Lane, Piscataway, NJ 08854",,
Livingston Apartments,Livingston,"105 Joyce Kilmer Avenue, Piscataway, NJ 08854",,
Lynton Towers North,Livingston,"61 Joyce Kilmer Avenue, Piscataway, NJ 08854",,
Lynton Towers South,Livingston,"70 Joyce Kilmer Avenue, Piscataway, NJ 08854",,
Quad I,Livingston,"23 Avenue E, Piscataway, NJ 08854",,
Quad II,Livingston,"99 Road 3, Piscataway, NJ 08854",,
Quad III,Livingston,"91 Road 3, Piscataway, NJ 08854",,
Brett Hall,College Ave,"23 Bishop Place, New Brunswick, NJ 08901",,
Campbell Hall,College Ave,"617 George St., New Brunswick, NJ 08901",,
Clothier Hall,College Ave,"590 George St., New Brunswick, NJ 08901",,
Demarest Hall,College Ave,"125 College Ave., New Brunswick, NJ 08901",,
Frelinghuysen Hall,College Ave,"611 George St., New Brunswick, NJ 08901",,
Hardenbergh Hall,College Ave,"615 George St., New Brunswick, NJ 08901",,
Hegeman Hall,College Ave,"600 George St., New Brunswick, NJ 08901",,
Honors College,College Ave,"5 Seminary Place, New Brunswick, NJ 08901",,
Leupp Hall,College Ave,"604 George St., New Brunswick, NJ 08901",,
Mettler Hall,College Ave,"117 College Ave., New Brunswick, NJ 08901",,
Pell Hall,College Ave,"606 George St., New Brunswick, NJ 08901",,
Sojourner Truth Apartments,College Ave,"40 College Ave., New Brunswick, NJ 08901",,
Stonier Hall,College Ave,"135 College Ave., New Brunswick, NJ 08901",,
Tinsley Hall,College Ave,"113 College Ave., New Brunswick, NJ 08901",,
University Center at Easton Avenue,College Ave,"30 Easton Ave., New Brunswick, NJ 08901",,
Wessels Hall,College Ave,"140 College Ave., New Brunswick, NJ 08901",,
Helyar House,Cook/Douglass,"20 College Farm Road, New Brunswick, NJ 08901",,
Henderson Apartments,Cook/Douglass,"51 Labor Center Way, New Brunswick, NJ 08901",,
Jameson Hall,Cook/Douglass,"7 Suydam Street, New Brunswick, NJ 08901",,
Katzenbach Hall,Cook/Douglass,"173 Ryders Lane, New Brunswick, NJ 08901",,
Lippincott Hall,Cook/Douglass,"33 Dudley Road, New Brunswick, NJ 08901",,
New Gibbons,Cook/Douglass,"93 Gibbons Circle, New Brunswick, NJ 08901",,
Newell Apartments,Cook/Douglass,"45 Biel Road West, New Brunswick, NJ 08901",,
Nicholas Hall,Cook/Douglass,"43 Dudley Road, New Brunswick, NJ 08901",,
Perry Hall,Cook/Douglass,"42 Biel Road West, New Brunswick, NJ 08901",,
Starkey Apartments,Cook/Douglass,"34 Biel Road East, New Brunswick, NJ 08901",,
Voorhees Residence Hall,Cook/Douglass,"34 Biel Road West, New Brunswick, NJ 08901",,
Woodbury Bunting-Cobb Hall,Cook/Douglass,"49 Dudley Road, New Brunswick, NJ 08901",,
